type	latitude	longitude	altitude (m)	name
W	22.086899353	-100.886542906	1861.0	P_492
W	22.015627198	-100.790106308	1889.1	P_493
W	22.120555578	-101.117909416	2231.2	P_494
W	22.062320982	-100.924932241	2126.1	P_495
W	22.289109584	-100.923358313	1830.0	P_496
W	22.017737395	-101.010008993	2287.5	P_497
W	22.022826063	-100.874929753	1866.2	P_498
W	21.999694531	-100.970031253	2259.1	P_499
W	22.160263375	-100.984149087	1866.0	P_500
W	22.110633519	-100.977022197	1902.0	P_501
W	22.124328607	-101.028001911	1948.1	P_502
W	22.603587721	-101.020705441	1694.0	P_503
W	22.315486867	-100.906838113	1842.0	P_504
W	22.090222752	-100.928613960	1926.9	P_505
W	22.596791227	-100.924430005	1645.0	P_506
W	22.414253609	-100.833456452	1830.0	P_507
W	22.356701877	-100.915899902	1850.4	P_508
W	21.979632893	-101.037101185	2570.8	P_509
W	22.064327649	-100.963619246	2055.6	P_510
W	22.447356221	-101.009181988	1906.7	P_511
W	22.450130496	-100.838928238	1869.3	P_512
W	22.296579137	-100.913173087	1830.0	P_513
W	22.585917776	-101.051439786	1750.0	P_514
W	22.241469782	-100.994459830	1860.4	P_515
W	22.414201090	-100.875634781	1910.0	P_516
W	22.165300739	-101.049094121	1964.4	P_517
W	22.454697167	-101.024465990	1785.9	P_518
W	22.366298465	-100.906131352	1859.6	P_519
W	22.167408147	-101.006333387	1884.0	P_520
W	22.425415715	-100.962881502	1841.1	P_521
W	22.012761892	-100.912892851	1943.9	P_522
W	22.038874812	-100.927120218	1981.1	P_523
W	22.102067291	-100.890568171	1851.6	P_524
W	22.618829472	-101.038847069	1721.6	P_525
W	22.093279584	-101.013919956	2158.6	P_526
W	22.545480519	-101.077735808	1780.0	P_527
W	22.128389985	-101.034932479	1951.6	P_528
W	22.145859899	-101.028992316	1931.9	P_529
W	22.004250051	-100.992355996	2423.0	P_530
W	22.151919248	-101.070478823	2042.1	P_531
W	22.242976612	-100.926270991	1840.0	P_532
W	22.542179300	-101.080739170	1815.3	P_533
W	22.554446415	-101.126731846	1975.6	P_534
W	22.048140204	-100.829544816	1850.0	P_535
W	22.044058838	-101.137693959	2411.9	P_536
W	22.039158288	-101.143246097	2289.8	P_537
W	22.141392330	-100.999511415	1878.6	P_538
W	22.175994468	-101.041436309	1933.9	P_539
W	22.337893788	-100.916359941	1821.1	P_540
W	22.370851234	-100.884081484	1827.0	P_541
W	22.549156650	-100.991358542	1680.0	P_542
W	22.331052185	-100.935058224	1840.0	P_543
W	22.457177626	-101.015687573	1795.4	P_544
W	22.600211046	-101.033048062	1716.0	P_545
W	22.087069737	-101.057121081	2143.6	P_546
W	22.292452863	-100.901361917	1830.0	P_547
W	22.074760863	-101.117296558	2178.6	P_548
W	22.503818925	-100.951940443	1760.6	P_549
W	22.171065499	-100.974032070	1860.0	P_550
W	22.365997960	-100.922713589	1839.8	P_551
W	22.038805781	-100.870406553	1866.0	P_552
W	22.415235565	-100.979696540	1827.3	P_553
W	22.160227400	-101.056005940	2001.3	P_554
W	22.189667028	-100.964602804	1857.0	P_555
W	22.357880308	-100.963943035	1820.0	P_556
W	22.063517747	-101.069227216	2200.8	P_557
W	22.546523393	-101.079082320	1784.4	P_558
W	22.539743191	-101.045998898	1732.0	P_559
W	22.595181103	-100.927728836	1646.3	P_560
W	22.119324023	-100.956046747	1869.2	P_561
W	22.043720304	-100.925465222	2018.7	P_562
W	22.047339378	-101.137269439	2369.0	P_563
W	22.211274511	-101.007165831	1887.0	P_564
W	22.038728766	-100.885380370	1884.0	P_565
W	22.023329507	-100.814967987	1865.0	P_566
W	22.054089897	-101.051795271	2248.8	P_567
W	22.049692855	-100.996317248	2425.7	P_568
W	22.520835335	-101.080532349	1848.3	P_569
W	22.066702348	-100.891580811	1876.0	P_570
W	22.089247973	-101.005167639	2274.0	P_571
W	22.162541229	-101.038056507	1936.3	P_572
W	22.335795131	-100.914986275	1821.1	P_573
W	22.653965039	-100.925955933	1630.0	P_574
W	22.338441453	-100.918648096	1824.5	P_575
W	22.030367571	-101.052098309	2263.5	P_576
W	22.112733652	-101.058788189	2012.2	P_577
W	22.121144104	-101.006413766	1914.3	P_578
